allele,anchor,n_raw,n_phase1,n_phase2,kl_raw,kl_phase1,kl_phase2,kl_reduction_pct
GOGOB0101,anchor1_P2,6,6,5,2.9957,2.9957,2.9957,0.0
H2DK,anchor1_P2,6,6,4,2.9957,2.9957,2.9957,0.0
HLAA02090101,anchor1_P2,6,6,5,2.9957,2.9957,2.9957,0.0
HLAA3003,anchor1_P2,13,13,8,2.202,2.202,2.9957,-36.05
HLAB40040101,anchor1_P2,35,35,17,2.6487,2.6487,2.9957,-13.1
HLAB500402,anchor1_P2,40,40,23,2.9957,2.9957,2.9957,0.0
HLAB5129,anchor1_P2,7,7,4,2.9957,2.9957,2.9957,0.0
HLAB560501,anchor1_P2,18,18,15,2.9957,2.9957,2.9957,0.0
HLAB670101,anchor1_P2,48,48,36,2.9957,2.9957,2.9957,0.0
HLAB780202,anchor1_P2,47,47,22,2.7903,2.7903,2.9957,-7.36
HLAB82010101,anchor1_P2,48,48,32,2.7936,2.7936,2.9957,-7.23
MAMUB029010101,anchor1_P2,6,6,5,2.9957,2.9957,2.9957,0.0
BOLA104201,anchor1_P2,2,2,2,2.9956,2.9956,2.9956,0.0
BOLA601401,anchor1_P2,2,2,2,2.9956,2.9956,2.9956,0.0
HLAA0213,anchor1_P2,3,3,2,2.9956,2.9956,2.9956,0.0
HLAA2404,anchor1_P2,2,2,2,2.9956,2.9956,2.9956,0.0
HLAB1806,anchor1_P2,4,4,3,2.9957,2.9957,2.9956,0.0
HLAB2710,anchor1_P2,3,3,2,2.9956,2.9956,2.9956,0.0
HLAB40104,anchor1_P2,2,2,2,2.9956,2.9956,2.9956,0.0
HLAB4040,anchor1_P2,7,7,3,2.5856,2.5856,2.9956,-15.86
HLAB4422,anchor1_P2,3,3,3,2.9956,2.9956,2.9956,0.0
HLAB48030101,anchor1_P2,5,5,3,2.9957,2.9957,2.9956,0.0
HLAB5121,anchor1_P2,2,2,2,2.9956,2.9956,2.9956,0.0
HLAC0130,anchor1_P2,3,3,2,2.9956,2.9956,2.9956,0.0
HLAC07185,anchor1_P2,3,3,2,2.9956,2.9956,2.9956,0.0
HLAC07276,anchor1_P2,3,3,3,2.9956,2.9956,2.9956,0.0
MAMUB00401,anchor1_P2,2,2,2,2.9956,2.9956,2.9956,0.0
PATRB05010101,anchor1_P2,2,2,2,2.9956,2.9956,2.9956,0.0
PATRB0901,anchor1_P2,3,3,2,2.9956,2.9956,2.9956,0.0
PATRB1701,anchor1_P2,3,3,3,2.9956,2.9956,2.9956,0.0
SLA20502,anchor1_P2,2,2,2,2.9956,2.9956,2.9956,0.0
BOLA106701,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA201801,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA202201,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA203001,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA204501,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA205601,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA205701,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA601302,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
BOLA601501,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAA02402,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
